Linux 5.4.0-58-generic (Elliot) 	26/12/20 	_x86_64_	(2 CPU)

18:33:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:35        all      0,00      0,00      0,50      0,00      0,00     99,50
18:33:36        all      0,00      0,00      0,00      0,00      0,00    100,00
18:33:37        all      0,00      0,00      0,00      0,00      0,00    100,00
18:33:38        all      3,00      0,00      2,00      0,00      0,00     95,00
18:33:39        all      0,99      0,50      0,50      0,00      0,00     98,02
18:33:40        all      0,00      0,00      0,50      4,00      0,00     95,50
18:33:41        all      0,50      0,00      0,00      0,00      0,00     99,50
18:33:42        all      1,50      0,00      1,00      0,00      0,00     97,50
18:33:43        all      0,00      0,00      0,00      0,00      0,00    100,00
18:33:44        all      0,50      0,00      0,00      0,00      0,00     99,50
18:33:45        all      0,51      0,00      0,00      3,05      0,00     96,45
18:33:46        all      0,50      0,00      0,00      0,00      0,00     99,50
18:33:47        all      1,01      0,00      0,00      0,00      0,00     98,99
18:33:48        all      0,00      0,00      0,50      0,00      0,00     99,50
18:33:49        all      1,01      0,00      0,00      0,00      0,00     98,99
18:33:50        all      1,00      0,00      0,50      2,49      0,00     96,02
18:33:51        all      1,49      0,00      0,50      0,00      0,00     98,01
18:33:52        all      0,00      0,00      0,00      0,00      0,00    100,00
18:33:53        all      0,00      0,00      0,51      0,00      0,00     99,49
18:33:54        all      0,51      0,00      0,00      0,00      0,00     99,49
18:33:55        all      0,00      0,00      0,51      2,02      0,00     97,47
18:33:56        all      0,00      0,00      1,00      0,00      0,00     99,00
18:33:57        all      0,51      0,00      0,00      0,00      0,00     99,49
18:33:58        all      0,00      0,00      0,00      0,00      0,00    100,00
18:33:59        all      0,50      0,00      0,50      0,00      0,00     99,00
18:34:00        all      1,00      0,00      0,00      2,50      0,00     96,50
18:34:01        all      0,00      0,00      0,51      0,00      0,00     99,49
18:34:02        all      0,00      0,00      0,50      0,00      0,00     99,50
18:34:03        all      1,00      0,00      0,00      0,00      0,00     99,00
18:34:04        all      0,00      0,00      0,51      0,00      0,00     99,49
18:34:05        all      0,50      0,00      0,00      2,50      0,00     97,00
18:34:06        all      0,50      0,00      0,50      0,00      0,00     98,99
18:34:07        all      0,50      0,50      0,00      0,00      0,00     99,00
18:34:08        all      0,00      0,00      0,00      0,00      0,00    100,00
18:34:09        all      0,00      0,00      0,50      0,00      0,00     99,50
18:34:10        all      0,00      0,00      0,50      2,51      0,00     96,98
18:34:11        all      0,51      0,00      0,00      0,00      0,00     99,49
18:34:12        all      1,00      0,00      0,00      0,00      0,00     99,00
18:34:13        all      0,00      0,00      0,00      0,00      0,00    100,00
18:34:14        all      1,01      0,00      0,50      0,00      0,00     98,49
18:34:15        all      1,51      0,00      0,50      2,51      0,00     95,48
18:34:16        all      1,01      0,00      0,00      0,00      0,00     98,99
18:34:17        all      0,51      0,00      0,00      0,00      0,00     99,49
18:34:18        all      0,50      0,00      0,00      0,00      0,00     99,50
18:34:19        all      1,50      0,00      0,50      0,00      0,00     98,00
18:34:20        all      1,00      0,00      0,50      2,50      0,00     96,00
18:34:21        all      0,51      0,00      0,00      0,00      0,00     99,49
18:34:22        all      1,01      0,00      0,00      0,00      0,00     98,99
18:34:23        all      0,51      0,00      0,51      0,00      0,00     98,99
18:34:24        all      1,51      0,00      0,00      0,00      0,00     98,49
18:34:25        all      0,00      0,00      0,00      2,03      0,00     97,97
18:34:26        all      1,00      0,00      1,00      0,00      0,00     98,00
18:34:27        all      1,52      0,00      0,00      0,00      0,00     98,48
18:34:28        all      1,52      0,00      0,00      0,00      0,00     98,48
18:34:29        all      1,01      0,00      0,00      0,00      0,00     98,99
18:34:30        all      1,52      0,00      0,51      2,53      0,00     95,45
18:34:31        all      1,00      0,00      0,00      0,00      0,00     99,00
18:34:32        all      0,00      0,00      0,00      0,00      0,00    100,00
18:34:33        all      0,51      0,00      0,00      0,00      0,00     99,49
18:34:34        all      1,00      0,00      0,50      0,00      0,00     98,50
18:34:35        all      1,01      0,00      0,00      2,51      0,00     96,48
18:34:36        all      0,50      0,00      1,01      0,00      0,00     98,49
18:34:37        all      1,01      0,00      0,50      0,00      0,00     98,49
18:34:38        all      1,53      0,00      0,51      0,00      0,00     97,96
18:34:39        all      1,53      0,00      2,55      0,00      0,00     95,92
18:34:40        all      2,05      0,00      1,54      3,08      0,00     93,33
18:34:41        all      5,03      0,00      5,53      0,00      0,00     89,45
18:34:42        all      3,52      0,00      3,02      0,00      0,00     93,47
18:34:43        all      1,52      0,00      1,01      0,00      0,00     97,47
18:34:44        all      1,52      0,00      2,03      0,00      0,00     96,45
18:34:45        all      3,98      0,00      2,99      1,99      0,00     91,04
18:34:46        all      4,10      0,00      3,08      0,00      0,00     92,82
18:34:47        all      4,12      0,00      3,09      0,00      0,00     92,78
18:34:48        all      8,63      0,00      4,57      0,00      0,00     86,80
18:34:49        all      6,60      0,00      6,60      0,00      0,00     86,80
18:34:50        all      8,76      0,00      5,15      2,58      0,00     83,51
18:34:51        all      4,21      0,00      3,68      0,00      0,00     92,11
18:34:52        all      5,15      0,00      4,12      0,00      0,00     90,72
18:34:53        all      6,15      0,00      7,18      0,00      0,00     86,67
18:34:54        all      9,84      0,00      4,15      0,00      0,00     86,01
18:34:55        all      6,63      0,00      4,59      0,00      0,00     88,78
18:34:56        all      6,67      0,00      7,18      2,05      0,00     84,10
18:34:57        all      3,54      0,00      5,05      0,51      0,00     90,91
18:34:58        all      3,63      0,00      3,11      0,00      0,00     93,26
18:34:59        all      7,00      0,00      5,00      0,00      0,00     88,00
18:35:00        all      9,69      0,00      5,61      0,00      0,00     84,69
18:35:01        all      4,59      0,00      5,10      2,04      0,00     88,27
18:35:02        all     10,10      0,51      4,04      0,51      0,00     84,85
18:35:03        all      8,42      0,00      6,32     14,21      0,00     71,05
18:35:04        all      7,33      0,00      5,24      0,00      0,00     87,43
18:35:05        all      4,21      0,00      4,21      0,00      0,00     91,58
18:35:06        all      4,62      0,00      5,64      2,56      0,00     87,18
18:35:07        all      6,32      0,53      4,74      0,00      0,00     88,42
18:35:08        all      7,07      0,00      6,57      0,00      0,00     86,36
18:35:09        all      4,66      0,00      4,66      0,00      0,00     90,67
18:35:10        all      6,77      0,00      4,17      0,00      0,00     89,06
18:35:11        all      4,28      0,00      2,14      2,67      0,00     90,91
18:35:12        all      5,15      0,00      7,22      0,00      0,00     87,63
18:35:13        all      6,32      0,00      7,37      7,89      0,00     78,42
18:35:14        all      4,71      0,00      6,81      6,28      0,00     82,20
18:35:15        all      5,15      0,00      3,61      0,00      0,00     91,24
18:35:16        all      6,91      0,00      4,26      2,13      0,00     86,70
18:35:17        all      7,77      0,00      6,22      0,52      0,00     85,49
18:35:18        all      6,19      0,00      6,19      0,00      0,00     87,63
18:35:19        all      4,74      0,00      5,26      0,00      0,00     90,00
18:35:20        all      8,76      0,00      7,73      0,00      0,00     83,51
18:35:21        all      8,67      0,00      5,61      0,00      0,00     85,71
18:35:22        all     11,56      0,00     12,06      2,01      0,00     74,37
18:35:23        all      8,25      0,00      6,19      0,00      0,00     85,57
18:35:24        all      5,73      0,00      5,73      0,00      0,00     88,54
18:35:25        all      7,61      0,00      7,61      0,00      0,00     84,77
18:35:26        all      6,19      0,00      6,70      0,00      0,00     87,11
18:35:27        all      4,57      0,00      6,60      2,54      0,00     86,29
18:35:28        all      7,14      0,00      6,63      0,00      0,00     86,22
18:35:29        all      7,69      0,00      6,67      0,00      0,00     85,64
18:35:30        all      7,65      0,00      8,16      0,00      0,00     84,18
18:35:31        all     12,44      0,00      6,74      0,00      0,00     80,83
18:35:32        all      7,54      0,00      5,03      1,51      0,00     85,93
18:35:33        all      8,67      0,00      9,18      0,00      0,00     82,14
18:35:34        all     10,10      0,00      7,58      0,00      0,00     82,32
18:35:35        all     11,56      0,00      9,55      0,00      0,00     78,89
18:35:36        all      8,21      0,00      7,18      0,00      0,00     84,62
18:35:37        all     12,38      0,00     11,39      1,98      0,00     74,26
18:35:38        all     12,63      0,00     12,63      0,00      0,00     74,74
18:35:39        all      8,81      0,00      9,33      0,00      0,00     81,87
18:35:40        all     11,28      0,00     11,28      0,00      0,00     77,44
18:35:41        all     14,95      0,00      8,76      0,00      0,00     76,29
18:35:42        all      7,77      0,00      7,77      2,07      0,00     82,38
18:35:43        all     10,45      0,00      8,96      0,00      0,00     80,60
18:35:44        all     10,77      0,00     11,28      8,21      0,00     69,74
18:35:45        all      9,74      0,00     11,79     45,13      0,00     33,33
18:35:46        all     10,99      0,00      7,85     32,98      0,00     48,17
18:35:47        all      9,28      0,00      7,73      2,58      0,00     80,41
18:35:48        all      9,90      0,00      3,12      0,00      0,00     86,98
18:35:49        all     10,82      0,00      8,76      0,00      0,00     80,41
18:35:50        all      8,81      0,00      6,74      0,00      0,00     84,46
18:35:51        all      9,42      0,00      5,76      0,00      0,00     84,82
18:35:52        all      8,81      0,00      5,70      0,00      0,00     85,49
18:35:53        all      8,08      0,00      7,07      3,03      0,00     81,82
18:35:54        all     11,52      0,00      6,28      0,00      0,00     82,20
18:35:55        all     11,00      0,00     13,00      0,00      0,00     76,00
18:35:56        all     13,02      0,00     10,42      0,00      0,00     76,56
18:35:57        all      9,84      0,00      7,77      0,00      0,00     82,38
18:35:58        all     11,17      0,51      9,64      2,03      0,00     76,65
18:35:59        all     10,53      0,00      9,47      0,00      0,00     80,00
18:36:00        all     10,82      0,00     10,31      0,00      0,00     78,87
18:36:01        all      6,67      0,00      5,64      0,00      0,00     87,69
18:36:02        all      7,73      0,00      8,25      0,00      0,00     84,02
18:36:03        all     11,44      0,00      8,96      1,99      0,00     77,61
18:36:04        all     12,31      0,00      7,69      0,00      0,00     80,00
18:36:05        all     13,57      0,00     13,07      0,00      0,00     73,37
18:36:06        all      9,64      0,00     10,15      0,00      0,00     80,20
18:36:07        all      8,16      0,00      9,18      0,00      0,00     82,65
18:36:08        all      8,67      0,00      7,14      2,55      0,00     81,63
18:36:09        all     14,50      0,00     12,00      0,00      0,00     73,50
18:36:10        all     13,50      0,00     11,00      0,00      0,00     75,50
18:36:11        all     12,89      0,00     10,31      0,00      0,00     76,80
18:36:12        all     10,89      0,00      8,91      0,00      0,00     80,20
18:36:13        all      7,46      0,00      9,95      1,49      0,00     81,09
18:36:14        all     10,45      0,00     10,95      0,00      0,00     78,61
18:36:15        all     10,61      0,00      8,08      0,00      0,00     81,31
18:36:16        all     12,92      0,00     11,96      0,00      0,00     75,12
18:36:17        all     11,76      0,00     12,75     19,12      0,00     56,37
18:36:18        all     10,66      0,00     11,68     49,75      0,00     27,92
18:36:19        all      5,76      0,00      9,95     46,07      0,00     38,22
18:36:20        all      8,81      0,00      7,25      8,29      0,00     75,65
18:36:21        all      8,12      0,00      8,63      0,00      0,00     83,25
18:36:22        all     13,57      0,00     10,05      0,00      0,00     76,38
18:36:23        all      9,79      0,00      9,79      2,58      0,00     77,84
18:36:24        all      7,11      0,00      8,63      0,00      0,00     84,26
18:36:25        all     10,47      0,00      5,76      0,00      0,00     83,77
18:36:26        all     11,46      0,00      8,33      0,00      0,00     80,21
