Linux 5.4.0-58-generic (Elliot) 	26/12/20 	_x86_64_	(2 CPU)

18:48:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:48:14        all      0,50      0,00      0,50      0,00      0,00     99,00
18:48:15        all      0,00      0,00      0,00      0,00      0,00    100,00
18:48:16        all      8,59      1,01      1,52      0,00      0,00     88,89
18:48:17        all     51,76      0,50      6,53      0,00      0,00     41,21
18:48:18        all     38,12      4,95      3,96      0,00      0,00     52,97
18:48:19        all     68,88     26,02      1,53      0,51      0,00      3,06
18:48:20        all     63,24     29,41      1,47      0,00      0,00      5,88
18:48:21        all     64,00     28,00      2,00      0,00      0,00      6,00
18:48:22        all     66,16     28,79      1,52      0,00      0,00      3,54
18:48:23        all     57,00     36,00      1,50      0,00      0,00      5,50
18:48:24        all     60,61     29,80      2,53      0,00      0,00      7,07
18:48:25        all     60,61     30,81      1,52      0,00      0,00      7,07
18:48:26        all     62,94     29,44      0,51      0,00      0,00      7,11
18:48:27        all     61,62     15,66      4,55      0,00      0,00     18,18
18:48:28        all     59,69     33,16      1,53      0,00      0,00      5,61
18:48:29        all     58,97     33,33      1,03      0,00      0,00      6,67
18:48:30        all     61,11     32,32      1,01      0,51      0,00      5,05
18:48:31        all     62,05     29,74      2,05      0,00      0,00      6,15
18:48:32        all     61,81     29,65      2,01      0,00      0,00      6,53
18:48:33        all     31,16     15,58      0,50      0,00      0,00     52,76
18:48:34        all     28,64     13,07      2,01      0,00      0,00     56,28
18:48:35        all      8,00      1,50      0,50      0,00      0,00     90,00
18:48:36        all      9,55      1,51      1,01      2,01      0,00     85,93
18:48:37        all      7,04      3,02      1,51      0,00      0,00     88,44
18:48:38        all      7,07      1,52      1,01      0,00      0,00     90,40
18:48:39        all      9,05      1,51      1,51      0,00      0,00     87,94
18:48:40        all      8,50      2,00      0,50      0,00      0,00     89,00
18:48:41        all      9,05      2,01      0,50      2,01      0,00     86,43
18:48:42        all      7,50      2,00      0,50      0,00      0,00     90,00
18:48:43        all      9,00      2,00      0,50      0,00      0,00     88,50
18:48:44        all      9,09      1,52      1,52      0,00      0,00     87,88
18:48:45        all      8,12      1,02      1,52      0,00      0,00     89,34
18:48:46        all     11,06      2,01      0,50      1,51      0,00     84,92
18:48:47        all      9,50      1,50      1,00      0,00      0,00     88,00
18:48:48        all      7,61      1,52      0,51      0,00      0,00     90,36
18:48:49        all      7,58      1,52      0,51      0,00      0,00     90,40
18:48:50        all      8,54      2,01      1,51      1,01      0,00     86,93
18:48:51        all     10,15      2,03      1,02      2,03      0,00     84,77
18:48:52        all     25,00     13,00      0,50      0,00      0,00     61,50
