Linux 5.4.0-58-generic (Elliot) 	27/12/20 	_x86_64_	(2 CPU)

11:56:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:56:25        all      0,00      0,00      0,51      0,00      0,00     99,49
11:56:26        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:27        all      1,00      0,00      1,00      0,00      0,00     98,00
11:56:28        all      0,50      0,00      0,50      0,00      0,00     99,00
11:56:29        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:30        all      0,00      0,00      0,00      2,50      0,00     97,50
11:56:31        all      0,00      0,00      0,50      0,00      0,00     99,50
11:56:32        all      0,50      0,00      0,00      0,00      0,00     99,50
11:56:33        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:34        all      0,50      0,00      0,00      0,00      0,00     99,50
11:56:35        all      0,00      0,00      0,00      0,50      0,00     99,50
11:56:36        all      0,00      0,00      0,50      0,00      0,00     99,50
11:56:37        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:38        all      0,50      0,00      0,00      0,00      0,00     99,50
11:56:39        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:40        all      0,00      0,00      0,00      1,01      0,00     98,99
11:56:41        all      0,50      0,00      0,50      0,00      0,00     99,00
11:56:42        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:43        all      0,50      0,00      0,00      0,00      0,00     99,50
11:56:44        all      0,51      0,00      0,00      0,00      0,00     99,49
11:56:45        all      0,00      0,00      0,00      0,50      0,00     99,50
11:56:46        all      0,00      0,00      0,50      0,00      0,00     99,50
11:56:47        all      0,00      0,00      0,50      0,50      0,00     99,00
11:56:48        all      0,50      0,00      0,00      0,00      0,00     99,50
11:56:49        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:50        all      0,00      0,00      1,00      0,50      0,00     98,50
11:56:51        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:52        all      0,00      0,00      0,50      0,00      0,00     99,50
11:56:53        all      0,00      0,00      0,50      0,00      0,00     99,50
11:56:54        all      0,50      0,00      0,00      0,00      0,00     99,50
11:56:55        all      0,00      0,00      0,00      0,50      0,00     99,50
11:56:56        all      8,50      0,00      1,00      9,00      0,00     81,50
11:56:57        all      4,46      0,00      0,50      0,00      0,00     95,05
11:56:58        all      0,00      0,00      0,00      0,00      0,00    100,00
11:56:59        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:00        all      0,00      0,00      0,00      0,51      0,00     99,49
11:57:01        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:02        all      0,49      0,49      0,99      0,00      0,00     98,03
11:57:03        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:04        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:05        all      0,50      0,00      0,00      1,01      0,00     98,49
11:57:06        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:07        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:08        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:09        all      0,00      0,50      0,00      0,00      0,00     99,50
11:57:10        all      0,00      0,00      0,00      0,51      0,00     99,49
11:57:11        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:12        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:13        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:14        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:15        all      1,00      0,00      0,00      0,50      0,00     98,50
11:57:16        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:17        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:18        all      0,50      0,00      0,50      0,00      0,00     98,99
11:57:19        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:20        all      0,00      0,00      0,00      1,01      0,00     98,99
11:57:21        all      0,50      0,00      0,00      0,00      0,00     99,50
11:57:22        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:23        all      0,50      0,00      0,50      0,00      0,00     99,00
11:57:24        all      1,49      0,00      0,00      0,00      0,00     98,51
11:57:25        all      0,00      0,00      0,00      0,51      0,00     99,49
11:57:26        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:27        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:28        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:29        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:30        all      0,50      0,00      0,00      1,00      0,00     98,50
11:57:31        all      0,50      0,00      0,50      0,00      0,00     99,01
11:57:32        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:33        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:34        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:35        all      0,00      0,00      0,00      0,50      0,00     99,50
11:57:36        all      0,50      0,00      0,00      0,50      0,00     99,00
11:57:37        all      0,50      0,00      0,00      0,00      0,00     99,50
11:57:38        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:39        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:40        all      0,00      0,00      0,00      0,50      0,00     99,50
11:57:41        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:42        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:43        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:44        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:45        all      0,00      0,00      1,00      1,00      0,00     98,01
11:57:46        all      0,50      0,00      0,00      0,00      0,00     99,50
11:57:47        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:48        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:49        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:50        all      0,00      0,00      0,50      0,50      0,00     99,00
