Linux 5.4.0-58-generic (Elliot) 	26/12/20 	_x86_64_	(2 CPU)

18:45:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:45:29        all      1,00      0,00      1,49      0,00      0,00     97,51
18:45:30        all      1,02      0,00      1,02      0,00      0,00     97,97
18:45:31        all      1,01      0,00      1,51      0,00      0,00     97,49
18:45:32        all      1,52      0,00      0,51      0,00      0,00     97,97
18:45:33        all      3,00      0,00      1,50      0,00      0,00     95,50
18:45:34        all      1,51      0,00      1,01      2,01      0,00     95,48
18:45:35        all      2,01      0,00      0,00      0,00      0,00     97,99
18:45:36        all      1,01      0,00      1,51      0,00      0,00     97,49
18:45:37        all      2,02      0,00      0,51      0,00      0,00     97,47
18:45:38        all      0,00      0,00      1,02      0,00      0,00     98,98
18:45:39        all      0,51      0,00      0,51      0,51      0,00     98,48
18:45:40        all      1,01      0,00      1,01      2,02      0,00     95,96
18:45:41        all      0,51      0,00      1,02      0,00      0,00     98,48
18:45:42        all      1,50      0,00      0,50      0,00      0,00     98,00
18:45:43        all      1,01      0,00      1,52      0,00      0,00     97,47
18:45:44        all      1,52      0,00      0,51      1,02      0,00     96,95
18:45:45        all      2,53      0,00      0,51      0,00      0,00     96,97
18:45:46        all      1,01      0,00      1,51      0,00      0,00     97,49
18:45:47        all      2,03      0,00      0,00      0,00      0,00     97,97
18:45:48        all      0,51      0,00      1,02      0,00      0,00     98,47
18:45:49        all      1,02      0,00      0,51      0,51      0,00     97,96
18:45:50        all     10,50      0,00     10,00      1,00      0,00     78,50
18:45:51        all      1,52      0,00      0,51      0,00      0,00     97,98
18:45:52        all      1,01      0,00      1,01      0,00      0,00     97,98
18:45:53        all      1,02      0,00      1,02      0,00      0,00     97,96
18:45:54        all     13,13      0,51      7,58      1,52      0,00     77,27
18:45:55        all      6,53      0,00      4,02      0,00      0,00     89,45
18:45:56        all     10,66      1,02      9,14      0,00      0,00     79,19
18:45:57        all      3,03      0,00      1,01      0,00      0,00     95,96
18:45:58        all      9,60      0,51      7,58      0,00      0,00     82,32
18:45:59        all      9,69      0,00      5,10      1,02      0,00     84,18
18:46:00        all      1,02      0,00      0,51      0,00      0,00     98,47
18:46:01        all      9,09      0,00      7,07      0,00      0,00     83,84
18:46:02        all      4,08      0,00      4,59      0,00      0,00     91,33
18:46:03        all      5,10      0,00      5,61      0,00      0,00     89,29
18:46:04        all      5,03      0,00      6,53      1,01      0,00     87,44
18:46:05        all      7,18      0,00      5,64      0,00      0,00     87,18
18:46:06        all      3,50      0,00      4,50      0,00      0,00     92,00
18:46:07        all      6,06      0,00      5,56      0,00      0,00     88,38
18:46:08        all      5,58      0,00      5,58      0,00      0,00     88,83
18:46:09        all      4,12      0,00      5,67      1,03      0,00     89,18
18:46:10        all      3,57      0,00      2,55      7,14      0,00     86,73
18:46:11        all      5,13      0,51      5,64      0,00      0,00     88,72
18:46:12        all      5,91      0,00      8,37      0,00      0,00     85,71
18:46:13        all      6,19      0,00      5,15      0,00      0,00     88,66
18:46:14        all      5,10      0,00      3,06      0,51      0,00     91,33
18:46:15        all      6,83      0,00      7,32      0,98      0,00     84,88
18:46:16        all      7,88      0,00      7,39      0,00      0,00     84,73
18:46:17        all      8,42      0,00      6,93      0,00      0,00     84,65
18:46:18        all      5,58      0,00      4,57      0,00      0,00     89,85
18:46:19        all      1,51      0,00      1,51      1,01      0,00     95,98
18:46:20        all      2,04      0,00      2,04      0,00      0,00     95,92
18:46:21        all     10,50      0,50      5,00      0,00      0,00     84,00
18:46:22        all      0,51      0,00      0,51      0,00      0,00     98,99
18:46:23        all      0,00      0,00      1,52      0,00      0,00     98,48
18:46:24        all      1,01      0,00      0,51      1,01      0,00     97,47
18:46:25        all      2,99      0,00      2,49      0,00      0,00     94,53
18:46:26        all      0,00      0,00      1,01      0,00      0,00     98,99
18:46:27        all      0,52      0,00      0,00      0,00      0,00     99,48
18:46:28        all      0,50      0,00      1,01      0,00      0,00     98,49
18:46:29        all      1,99      0,00      1,00      1,00      0,00     96,02
18:46:30        all      2,00      0,00      1,00      0,00      0,00     97,00
18:46:31        all      2,01      0,00      0,50      0,00      0,00     97,49
18:46:32        all      1,02      0,00      0,00      0,00      0,00     98,98
18:46:33        all      1,52      0,00      0,00      0,00      0,00     98,48
18:46:34        all     15,58      0,00      4,02      1,51      0,00     78,89
18:46:35        all     43,15      4,06     13,71      5,58      0,00     33,50
18:46:36        all     50,75      0,00      9,05      5,53      0,00     34,67
18:46:37        all     45,77      0,00      3,98      4,48      0,00     45,77
18:46:38        all     45,92      0,00      3,57      4,59      0,00     45,92
18:46:39        all     51,52      0,00      3,54      3,03      0,00     41,92
18:46:40        all     45,88      0,00      5,67      5,67      0,00     42,78
18:46:41        all     30,96      0,00      6,09     18,27      0,00     44,67
18:46:42        all      3,55      2,54     14,72      6,09      0,00     73,10
18:46:43        all     52,45      0,00     38,24      4,41      0,00      4,90
18:46:44        all     60,20      0,00      5,61      3,06      0,00     31,12
18:46:45        all     70,65      3,48      5,97      1,49      0,00     18,41
18:46:46        all     85,93      5,03      6,03      0,00      0,00      3,02
18:46:47        all     93,97      0,50      5,03      0,00      0,00      0,50
18:46:48        all     91,09      3,47      4,95      0,00      0,00      0,50
18:46:49        all     90,45      3,52      5,53      0,00      0,00      0,50
18:46:50        all     90,05      3,48      5,47      0,00      0,00      1,00
18:46:51        all     90,31      2,55      4,59      0,00      0,00      2,55
18:46:52        all     63,50      3,50      9,00      0,00      0,00     24,00
18:46:53        all     46,70      1,52      4,06      0,51      0,00     47,21
18:46:54        all     31,00      1,00      6,00      0,00      0,00     62,00
18:46:55        all      1,02      0,51      0,51      0,00      0,00     97,97
18:46:56        all     14,50      0,00      3,00     10,00      0,00     72,50
18:46:57        all      2,58      0,00      0,52      1,03      0,00     95,88
18:46:58        all      6,57      0,00      2,53      0,00      0,00     90,91
18:46:59        all      1,02      0,00      0,51      0,00      0,00     98,48
18:47:00        all      1,02      0,00      1,02      0,00      0,00     97,97
18:47:01        all      2,02      0,00      0,51      0,00      0,00     97,47


Average:        all     15,71      0,41      3,88      1,06      0,00     78,94
